X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5	Y6	Y7
3.3	3.5	2.9	4.3	2.3	113.0	82.0	195.0	62.0	26.0	21.0	31.0
3.2	3.3	3.7	2.5	2.3	133.0	89.0	222.0	64.0	22.0	20.0	32.0
3.1	3.9	3.7	4.5	3.3	130.0	78.0	208.0	63.0	15.0	21.0	25.0
2.4	3.6	2.9	3.9	2.6	120.0	91.0	211.0	59.0	24.0	20.0	32.0
3.8	2.9	3.6	2.8	2.3	131.0	75.0	206.0	60.0	21.0	12.0	24.0
1.8	3.8	1.8	3.5	2.1	131.0	65.0	196.0	61.0	20.0	20.0	37.0
1.9	4.0	3.6	4.3	1.9	149.0	101.0	250.0	63.0	30.0	19.0	35.0
2.2	3.8	1.9	3.1	3.9	123.0	88.0	211.0	49.0	21.0	21.0	28.0
2.3	4.6	3.0	3.6	2.6	111.0	78.0	189.0	54.0	30.0	26.0	34.0
2.6	2.8	4.0	4.1	2.8	114.0	74.0	188.0	52.0	25.0	19.0	24.0
2.6	3.1	3.9	3.5	3.1	100.0	75.0	175.0	64.0	22.0	18.0	26.0
2.3	2.4	4.1	3.8	2.9	108.0	90.0	198.0	50.0	28.0	24.0	33.0
2.3	2.7	2.7	2.9	2.9	110.0	79.0	189.0	55.0	13.0	15.0	26.0
1.6	3.6	4.0	4.5	1.3	135.0	83.0	218.0	63.0	29.0	26.0	32.0
2.5	3.8	3.2	3.9	2.6	130.0	78.0	208.0	54.0	23.0	20.0	35.0
1.9	3.5	3.6	4.1	2.9	130.0	81.0	211.0	56.0	25.0	19.0	31.0
2.1	3.9	3.1	5.0	2.8	130.0	95.0	225.0	51.0	19.0	18.0	33.0
2.8	3.6	3.6	3.5	2.6	127.0	89.0	216.0	52.0	26.0	19.0	29.0
1.8	3.6	3.2	3.6	2.5	132.0	98.0	230.0	67.0	18.0	22.0	35.0
1.7	3.8	3.4	3.6	2.5	140.0	97.0	237.0	60.0	20.0	20.0	32.0
2.2	3.4	3.1	3.6	3.1	125.0	75.0	200.0	58.0	23.0	22.0	28.0
2.4	3.4	3.4	4.5	2.8	108.0	87.0	195.0	56.0	24.0	20.0	28.0
3.1	3.8	4.1	3.9	2.6	145.0	99.0	244.0	52.0	31.0	25.0	28.0
2.6	3.7	4.3	3.4	1.9	126.0	80.0	206.0	62.0	20.0	20.0	31.0
3.8	3.1	2.7	2.9	3.3	112.0	80.0	192.0	42.0	26.0	15.0	21.0
2.2	3.2	4.9	3.9	1.1	119.0	91.0	210.0	63.0	26.0	18.0	31.0
2.8	4.9	2.1	3.8	3.1	127.0	83.0	210.0	61.0	18.0	26.0	33.0
2.1	3.3	4.1	3.6	2.0	135.0	84.0	219.0	62.0	24.0	21.0	33.0
2.5	4.6	3.1	4.5	3.0	133.0	92.0	225.0	60.0	26.0	24.0	31.0
2.2	3.5	3.2	4.6	3.3	142.0	80.0	222.0	54.0	19.0	17.0	33.0
2.2	3.3	3.5	4.6	2.8	134.0	90.0	224.0	56.0	32.0	24.0	26.0
2.5	2.0	3.7	3.6	1.6	119.0	78.0	197.0	55.0	21.0	15.0	28.0
1.9	3.2	4.2	4.3	1.8	110.0	78.0	188.0	66.0	26.0	25.0	37.0
3.1	3.4	3.7	4.0	2.6	120.0	80.0	200.0	51.0	26.0	18.0	27.0
1.4	4.1	4.3	3.0	2.0	143.0	98.0	241.0	70.0	35.0	28.0	38.0
2.3	3.0	3.1	3.6	2.8	119.0	93.0	212.0	53.0	22.0	18.0	30.0
1.5	2.6	4.1	4.3	3.1	123.0	92.0	215.0	60.0	28.0	27.0	24.0
3.6	3.6	3.1	3.1	2.8	134.0	93.0	227.0	56.0	15.0	23.0	31.0
2.5	3.4	3.9	4.5	2.1	151.0	95.0	246.0	62.0	27.0	26.0	32.0
3.0	3.1	3.4	3.5	2.8	124.0	83.0	207.0	51.0	22.0	18.0	31.0
2.4	3.3	2.4	2.8	2.5	111.0	76.0	187.0	52.0	21.0	11.0	24.0
3.5	4.6	2.6	1.8	2.1	125.0	73.0	198.0	68.0	16.0	24.0	35.0
2.5	3.4	3.6	3.4	2.6	116.0	79.0	195.0	60.0	20.0	17.0	30.0
1.8	3.2	4.8	4.1	1.6	152.0	99.0	251.0	66.0	13.0	17.0	31.0
4.0	3.4	3.0	3.8	3.1	121.0	85.0	206.0	49.0	16.0	17.0	34.0
3.1	3.1	2.4	2.8	3.3	122.0	79.0	201.0	51.0	17.0	19.0	30.0
1.4	3.3	3.4	4.6	1.6	135.0	100.0	235.0	59.0	19.0	21.0	37.0
2.0	3.8	3.4	4.4	2.5	119.0	87.0	206.0	61.0	27.0	24.0	32.0
2.3	3.6	3.9	3.4	2.1	137.0	82.0	219.0	58.0	26.0	19.0	35.0
2.6	3.3	3.8	3.9	2.0	132.0	93.0	225.0	54.0	21.0	22.0	29.0
1.5	2.4	4.9	4.1	2.0	121.0	99.0	220.0	67.0	32.0	28.0	35.0
3.5	2.8	3.6	3.5	3.5	121.0	85.0	206.0	60.0	14.0	19.0	37.0
2.3	3.7	3.6	3.4	2.4	142.0	85.0	227.0	65.0	17.0	21.0	38.0
2.0	3.9	3.1	3.6	2.9	114.0	79.0	193.0	61.0	29.0	19.0	28.0
2.5	3.3	4.9	3.8	2.0	134.0	91.0	225.0	50.0	24.0	18.0	27.0
1.8	3.1	2.9	4.5	2.1	105.0	87.0	192.0	62.0	14.0	23.0	29.0
1.6	3.5	4.3	4.4	1.4	143.0	100.0	243.0	67.0	22.0	25.0	30.0
2.6	3.1	3.5	3.1	2.4	114.0	84.0	198.0	57.0	28.0	19.0	33.0
2.2	3.5	3.5	3.3	1.9	119.0	84.0	203.0	58.0	21.0	17.0	30.0
3.6	4.1	3.4	3.1	3.6	127.0	86.0	213.0	57.0	13.0	14.0	28.0
2.0	3.6	3.9	4.0	2.6	121.0	83.0	204.0	60.0	31.0	21.0	28.0
2.0	3.3	3.6	4.1	3.1	106.0	65.0	171.0	50.0	23.0	15.0	26.0
2.9	3.8	3.4	4.0	2.3	117.0	85.0	202.0	53.0	23.0	19.0	29.0
4.0	4.4	2.0	2.6	3.0	123.0	90.0	213.0	54.0	16.0	16.0	22.0
3.5	3.5	3.8	4.1	3.1	129.0	77.0	206.0	50.0	11.0	17.0	30.0
1.8	3.1	3.1	4.1	2.6	130.0	95.0	225.0	64.0	27.0	25.0	30.0
3.3	3.3	4.4	3.0	2.5	136.0	90.0	226.0	57.0	19.0	19.0	31.0
2.7	2.9	3.5	4.1	2.4	103.0	81.0	184.0	47.0	18.0	18.0	27.0
2.5	3.5	4.1	3.3	1.8	146.0	101.0	247.0	45.0	20.0	21.0	32.0
3.5	4.6	1.8	2.8	3.1	113.0	84.0	197.0	59.0	24.0	17.0	25.0
1.4	3.6	2.9	3.3	3.3	115.0	84.0	199.0	51.0	29.0	20.0	30.0
3.2	3.7	3.8	4.8	3.1	114.3	93.0	207.3	53.0	16.0	21.0	27.0
1.8	3.3	3.4	3.9	2.1	116.0	93.0	209.0	67.0	29.0	24.0	29.0
2.0	3.9	3.9	4.3	1.9	147.0	88.0	235.0	64.0	30.0	25.0	36.0
1.8	4.3	3.1	4.3	2.9	129.0	86.0	215.0	65.0	27.0	23.0	36.0
3.1	3.6	4.1	3.8	2.9	132.0	71.0	203.0	61.0	21.0	19.0	28.0
2.8	3.6	3.1	3.9	3.3	126.0	93.0	219.0	56.0	22.0	18.0	30.0
2.2	4.7	1.5	3.9	2.9	101.0	99.0	200.0	63.0	21.0	26.0	32.0
2.2	3.4	3.7	4.1	2.3	124.0	75.0	199.0	62.0	24.0	20.0	33.0
