	v1A1	v2A1	v3A1	v4A1	v5A1	v6A1	v7A1	v8A1	v9A1	v10A1	v11A1	v12A1	v13A1	v14A1	v15A1
Fa000397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000435	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Fa000436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000440	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000450	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Fa000451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000470	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000482	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000483	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Fa000485	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000487	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000495	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000496	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa001070	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fa001202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa001207	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Fa001208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa001664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa002122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000517	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000519	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000520	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000521	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000525	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000531	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000533	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fb000534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000539	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000540	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000555	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000558	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Fb000559	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000562	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fb000567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
